Time,Voltage
14.1465,-0.713471
14.1475,-0.824999
14.1484,-0.801098
14.1494,-0.570438
14.1504,-0.230948
14.1514,-0.0137607
14.1523,0.00636522
14.1533,-0.0311038
14.1543,0.000372653
14.1553,0.107474
14.1563,0.0937566
14.1572,-0.110856
14.1582,-0.152288
14.1592,0.00107404
14.1602,-0.034207
14.1611,-0.135744
14.1621,-0.0484369
14.1631,0.101552
14.1641,0.280394
14.165,0.251454
14.166,0.00915964
14.167,-0.0350568
14.168,-0.280539
14.1689,-0.601761
14.1699,-0.166195
14.1709,0.406311
14.1719,0.352867
14.1729,0.0688972
14.1738,-0.0500027
14.1748,0.00196995
14.1758,0.13582
14.1768,0.216318
14.1777,0.128631
14.1787,0.0835279
14.1797,0.296711
14.1807,0.412504
14.1816,0.152539
14.1826,-0.107083
14.1836,-0.0695463
14.1846,-0.0373016
14.1855,-0.278127
14.1865,-0.512494
14.1875,-0.389801
14.1885,-0.0857415
14.1895,-0.084844
14.1904,-0.32304
14.1914,-0.287355
14.1924,-0.0637192
14.1934,0.0150008
14.1943,0.12959
14.1953,0.33262
14.1963,0.379867
14.1973,0.319793
14.1982,0.343436
14.1992,0.427636
14.2002,0.436959
14.2012,0.28312
14.2021,-0.0843796
14.2031,-0.468427
14.2041,-0.485822
14.2051,-0.211903
14.2061,0.0743946
14.207,0.344046
14.208,0.333882
14.209,-0.0372869
14.21,-0.0924326
14.2109,0.472581
14.2119,0.827838
14.2129,0.315328
14.2139,-0.338654
14.2148,-0.330314
14.2158,-0.0788649
14.2168,-0.0113304
14.2178,0.0405088
14.2188,0.0542613
14.2197,-0.0344195
14.2207,-0.0290702
14.2217,0.114886
14.2227,0.146249
14.2236,0.00337155
14.2246,-0.156291
14.2256,-0.265056
14.2266,-0.079071
14.2275,0.454828
14.2285,0.713912
14.2295,0.349006
14.2305,-0.182043
14.2314,-0.407388
14.2324,-0.329546
14.2334,-0.143898
14.2344,0.05502
14.2354,0.22481
14.2363,0.282288
14.2373,0.163059
14.2383,-0.0619024
14.2393,-0.210961
14.2402,-0.183245
14.2412,0.0186005
14.2422,0.385241
14.2432,0.690031
14.2441,0.552957
14.2451,0.109011
14.2461,-0.167979
14.2471,-0.257613
14.248,-0.385381
14.249,-0.510946
14.25,-0.475165
14.251,-0.401109
14.252,-0.434085
14.2529,-0.17555
14.2539,0.553588
14.2549,1.09205
14.2559,1.05096
14.2568,0.774818
14.2578,0.522636
14.2588,0.206178
14.2598,-0.223467
14.2607,-0.612997
14.2617,-0.769934
14.2627,-0.612928
14.2637,-0.313019
14.2646,-0.097827
14.2656,0.0186418
14.2666,-0.0412676
14.2676,-0.18213
14.2686,-0.0104626
14.2695,0.360363
14.2705,0.585
14.2715,0.652206
14.2725,0.474165
14.2734,0.0476411
14.2744,-0.315586
14.2754,-0.339051
14.2764,-0.0291697
14.2773,0.237989
14.2783,0.236812
14.2793,0.116288
14.2803,-0.15416
14.2813,-0.522512
14.2822,-0.696356
14.2832,-0.742586
14.2842,-0.784917
14.2852,-0.592997
14.2861,-0.0324145
14.2871,0.701473
14.2881,1.30468
14.2891,1.53294
14.29,1.24745
14.291,0.635864
14.292,0.219064
14.293,0.0701189
14.2939,-0.274816
14.2949,-0.731257
14.2959,-0.802538
14.2969,-0.608528
14.2979,-0.498992
14.2988,-0.395719
14.2998,-0.220355
14.3008,-0.130188
14.3018,-0.130881
14.3027,-0.0449993
14.3037,0.12096
14.3047,0.210436
14.3057,0.18659
14.3066,0.0759276
14.3076,0.00790043
14.3086,0.11474
14.3096,0.168978
14.3105,-0.00932171
14.3115,-0.167677
14.3125,-0.155315
14.3135,-0.0775399
14.3145,0.0253499
14.3154,0.0438155
14.3164,-0.0569
14.3174,0.0314027
14.3184,0.341475
14.3193,0.537011
14.3203,0.539107
14.3213,0.433173
14.3223,0.255661
14.3232,0.0213601
14.3242,-0.193409
14.3252,-0.288762
14.3262,-0.400336
14.3271,-0.554337
14.3281,-0.516452
14.3291,-0.32596
14.3301,-0.126262
14.3311,0.0376064
14.332,0.00769394
14.333,-0.169897
14.334,-0.251222
14.335,-0.224124
14.3359,-0.165616
14.3369,-0.0448746
14.3379,0.15409
14.3389,0.363404
14.3398,0.447484
14.3408,0.348109
14.3418,0.24764
14.3428,0.35498
14.3438,0.54783
14.3447,0.550279
14.3457,0.366893
14.3467,0.124101
14.3477,-0.185007
14.3486,-0.453064
14.3496,-0.495648
14.3506,-0.362913
14.3516,-0.204133
14.3525,-0.0820781
14.3535,-0.055598
14.3545,-0.137399
14.3555,-0.249993
14.3564,-0.3734
14.3574,-0.430319
14.3584,-0.219687
14.3594,0.094186
14.3604,0.183657
14.3613,0.220032
14.3623,0.289516
14.3633,0.227864
14.3643,0.139347
14.3652,0.0715503
14.3662,0.0105285
14.3672,-0.237211
14.3682,-0.454321
14.3691,0.236472
14.3701,1.0761
14.3711,0.790077
14.3721,0.106857
14.373,-0.161809
14.374,-0.0601474
14.375,0.213959
14.376,0.21889
14.377,-0.111744
14.3779,-0.411894
14.3789,-0.550762
14.3799,-0.567486
14.3809,-0.485956
14.3818,-0.365273
14.3828,-0.279943
14.3838,-0.230212
14.3848,-0.0857513
14.3857,0.113759
14.3867,0.0963975
14.3877,-0.0775712
14.3887,-0.0631475
14.3896,0.232909
14.3906,0.638378
14.3916,0.827593
14.3926,0.627541
14.3936,0.368356
14.3945,0.301773
14.3955,0.146402
14.3965,-0.242026
14.3975,-0.561269
14.3984,-0.607409
14.3994,-0.495323
14.4004,-0.361702
14.4014,-0.235541
14.4023,-0.184096
14.4033,-0.223758
14.4043,-0.199028
14.4053,-0.0544643
14.4063,0.103851
14.4072,0.227845
14.4082,0.317073
14.4092,0.416406
14.4102,0.573374
14.4111,0.6865
14.4121,0.588286
14.4131,0.283115
14.4141,0.0129561
14.415,-0.124937
14.416,-0.28233
14.417,-0.445412
14.418,-0.461059
14.4189,-0.261399
14.4199,-0.00950355
14.4209,0.0470492
14.4219,-0.0304176
14.4229,-0.0466896
14.4238,0.0478307
14.4248,0.0936206
14.4258,-0.0440333
14.4268,-0.176771
14.4277,-0.172741
14.4287,-0.0992803
14.4297,0.0435084
14.4307,0.206706
14.4316,0.279757
14.4326,0.268322
14.4336,0.206203
14.4346,0.0534188
